"","Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG.x","BB%","K%","BB/K","AVG.y","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace","date_acquired","player_id","W","L","ERA","GS","CG","ShO","SV","HLD","BS","IP","TBF","ER","WP","BK","K/9","BB/9","K/BB","HR/9","K-BB%","AVG","WHIP","LOB%","ERA-","FIP-","FIP","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BsR","Off","Def","WAR","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","F-Strike%","SwStr%","W.x","L.x","SV.x","GS.x","IP.x","GB%","HR/FB","ERA.x","xFIP","W.y","L.y","ERA.y","GS.y","SV.y","IP.y"
"2942","2015","Cardinals",52,153,173,41,24,7,5,5,28,18,19,1,41,0,1,0,1,2,0,0.268,"11.0%","23.7%",0.46,0.268,0.347,0.477,0.824,0.209,6.8,0.333,2.8,0.5,0.3,25,5.4,0.352,126,"22.2%","59.0%","41.3%","47.2%","85.4%","75.5%","51.9%",20.5,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2943","2016","Cardinals (AA)",4,14,17,5,4,0,0,1,3,2,3,1,3,0,0,0,0,0,1,0.357,"17.6%","17.6%",1,0.357,0.471,0.571,1.042,0.214,2.5,0.4,NA,NA,-0.4,4,1.7,0.45,193,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2944","2016","Cardinals (AAA)",33,110,128,26,17,5,1,3,15,17,18,0,29,0,0,0,2,8,2,0.236,"14.1%","22.7%",0.62,0.236,0.344,0.382,0.726,0.145,6.4,0.295,NA,NA,0.7,16,-0.3,0.332,98,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2945","2016","Cardinals",78,159,183,36,20,7,0,9,26,17,20,1,71,3,0,1,3,2,2,0.226,"10.9%","38.8%",0.28,0.226,0.324,0.44,0.764,0.214,3.1,0.342,1,0.2,-0.5,23,1.8,0.33,106,"22.4%","58.8%","41.5%","32.1%","77.4%","65.8%","52.5%",20.8,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2946","2017","Cardinals (AAA)",25,92,106,26,14,8,0,4,17,19,13,0,21,0,0,1,1,6,3,0.283,"12.3%","19.8%",0.62,0.283,0.371,0.5,0.871,0.217,4.9,0.328,NA,NA,-0.2,18,3.7,0.38,126,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2947","2017","Cardinals",128,444,530,136,89,22,2,23,95,73,71,0,117,10,3,2,18,25,7,0.306,"13.4%","22.1%",0.61,0.306,0.411,0.52,0.931,0.214,6,0.368,4.3,-0.6,1.6,99,34.5,0.398,149,"15.4%","58.1%","37.9%","48.7%","87.6%","80.1%","52.6%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2948","2018","Rays (A-)",1,4,4,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0.75,"0.0%","0.0%",0,0.75,0.75,1.5,2.25,0.75,2.6,0.667,NA,NA,0,3,2.1,1.032,559,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2949","2018","2 Teams",137,494,570,136,91,18,6,21,102,63,67,2,140,6,3,0,18,15,7,0.275,"11.8%","24.6%",0.48,0.275,0.367,0.464,0.83,0.188,6.6,0.342,4.1,-1.7,-0.2,87,20.5,0.359,130,"19.4%","57.7%","39.7%","44.4%","86.5%","76.8%","52.8%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2950","2018","Cardinals",98,351,396,87,62,11,0,14,67,41,42,1,97,2,1,0,12,10,6,0.248,"10.6%","24.5%",0.43,0.248,0.331,0.399,0.73,0.151,4.6,0.303,3.2,-1,-0.7,48,1.7,0.32,103,"19.9%","58.9%","40.8%","45.8%","87.7%","78.3%","53.7%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2951","2018","Rays",39,143,174,49,29,7,6,7,35,22,25,1,43,4,2,0,6,5,1,0.343,"14.4%","24.7%",0.58,0.343,0.448,0.622,1.071,0.28,7.3,0.442,0.9,-0.7,0.5,39,18.8,0.447,192,"18.5%","55.1%","37.1%","41.3%","83.5%","73.2%","50.9%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
