"","Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG.x","BB%","K%","BB/K","AVG.y","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace","date_acquired","player_id","W","L","ERA","GS","CG","ShO","SV","HLD","BS","IP","TBF","ER","WP","BK","K/9","BB/9","K/BB","HR/9","K-BB%","AVG","WHIP","LOB%","ERA-","FIP-","FIP","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BsR","Off","Def","WAR","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","F-Strike%","SwStr%","W.x","L.x","SV.x","GS.x","IP.x","GB%","HR/FB","ERA.x","xFIP","W.y","L.y","ERA.y","GS.y","SV.y","IP.y"
"1","2006","Indians (AAA)",52,190,211,50,38,11,0,1,26,14,8,0,39,3,6,4,4,5,4,0.263,"3.8%","18.5%",0.21,0.263,0.295,0.337,0.632,0.074,4.3,0.314,NA,NA,-0.7,17,-6.3,0.284,73,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2006","Mariners (AAA)",60,203,233,48,31,12,2,3,27,22,24,1,51,3,2,1,4,7,5,0.236,"10.3%","21.9%",0.47,0.236,0.323,0.36,0.683,0.123,5.7,0.298,NA,NA,-0.8,24,-5.5,0.311,81,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2007","Indians (AA)",96,368,425,114,80,23,3,8,78,54,45,0,42,3,7,2,8,23,7,0.31,"10.6%","9.9%",1.07,0.31,0.383,0.454,0.837,0.144,6.9,0.326,NA,NA,1.6,68,15.3,0.377,129,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2007","Indians (AAA)",9,38,40,12,9,3,0,0,6,3,2,0,8,0,0,0,1,2,0,0.316,"5.0%","20.0%",0.25,0.316,0.35,0.395,0.745,0.079,6,0.4,NA,NA,0.4,5,0.3,0.339,106,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2007","Indians",45,159,186,45,31,9,2,3,30,22,17,0,29,2,3,5,7,0,0,0.283,"9.1%","15.6%",0.59,0.283,0.354,0.421,0.775,0.138,4.1,0.323,2.3,-0.5,-0.2,25,1.6,0.341,107,"26.0%","61.7%","45.1%","75.0%","90.2%","86.2%","53.5%",22.5,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008","Indians (AAA)",34,141,152,46,34,7,1,4,25,13,7,1,25,4,0,0,1,2,2,0.326,"4.6%","16.4%",0.28,0.326,0.375,0.475,0.85,0.149,4.8,0.375,NA,NA,-0.6,24,6,0.377,133,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008","Indians",114,352,418,91,65,20,0,6,48,47,46,2,77,4,5,11,8,4,4,0.259,"11.0%","18.4%",0.6,0.259,0.346,0.366,0.713,0.108,2.7,0.31,-2,1.2,-1.2,48,-2.8,0.32,94,"28.2%","61.4%","46.3%","70.3%","87.8%","82.9%","54.5%",21.9,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009","Indians (AA)",4,16,18,4,3,1,0,0,5,0,1,0,2,1,0,0,0,2,0,0.25,"5.6%","11.1%",0.5,0.25,0.333,0.313,0.646,0.063,7.5,0.286,NA,NA,0.4,2,-0.3,0.309,86,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009","Indians",131,523,581,161,109,42,4,6,81,68,44,1,89,1,3,10,13,17,4,0.308,"7.6%","15.3%",0.49,0.308,0.361,0.438,0.799,0.13,5.9,0.36,1.7,0.2,1.3,80,10.7,0.351,112,"26.2%","62.7%","45.9%","76.5%","88.6%","85.4%","53.8%",20.5,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2010","Indians (A-)",2,6,7,2,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0.333,"14.3%","14.3%",1,0.333,0.429,0.5,0.929,0.167,0.1,0.4,NA,NA,0,1,0.6,0.43,168,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2010","Indians (AA)",4,14,17,5,2,2,0,1,4,1,3,0,3,0,0,0,0,2,0,0.357,"17.6%","17.6%",1,0.357,0.471,0.714,1.185,0.357,6.8,0.4,NA,NA,0.4,5,2.4,0.508,218,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2010","Indians",97,381,425,105,85,16,1,3,39,29,25,0,60,5,3,11,10,6,4,0.276,"5.9%","14.1%",0.42,0.276,0.326,0.346,0.673,0.071,3.4,0.318,2.3,-0.8,-0.8,43,-6.1,0.303,88,"27.4%","58.5%","44.0%","80.2%","91.9%","88.5%","53.5%",20.1,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2011","Indians",151,604,667,165,105,32,3,25,87,92,44,5,119,11,4,4,10,17,5,0.273,"6.6%","17.8%",0.37,0.273,0.332,0.46,0.792,0.187,5.3,0.302,0.7,0.8,0.9,90,14.6,0.344,119,"29.2%","65.3%","47.3%","68.5%","90.6%","83.8%","50.0%",21.2,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2012","Indians",143,555,616,150,98,35,1,16,70,68,52,3,99,6,2,1,18,9,4,0.27,"8.4%","16.1%",0.53,0.27,0.338,0.423,0.762,0.153,3.5,0.303,0.2,-1,-0.5,79,8.5,0.332,112,"27.2%","67.9%","47.7%","67.2%","90.7%","84.1%","50.5%",22.7,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2013","Indians",136,508,562,123,72,35,2,14,66,64,35,1,114,8,5,6,10,9,3,0.242,"6.2%","20.3%",0.31,0.242,0.299,0.402,0.7,0.159,4.8,0.283,-3.9,0.8,0.3,59,-3.1,0.307,92,"29.9%","65.4%","48.3%","63.3%","87.0%","79.9%","51.7%",23.2,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2014","2 Teams",146,553,616,133,84,31,4,14,74,61,49,2,108,7,6,1,15,10,2,0.241,"8.0%","17.5%",0.45,0.241,0.307,0.387,0.694,0.146,5.3,0.272,2.2,0,0.7,65,-1.1,0.308,94,"30.9%","70.3%","50.6%","63.7%","88.7%","81.1%","50.0%",24.1,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2014","Indians",97,378,416,93,60,22,2,9,54,40,27,1,79,7,4,0,11,7,2,0.246,"6.5%","19.0%",0.34,0.246,0.305,0.386,0.692,0.14,5.3,0.286,1,-0.5,0.3,44,-1.1,0.306,94,"30.6%","69.4%","50.3%","62.8%","88.3%","80.6%","50.8%",23.5,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2014","Nationals",49,175,200,40,24,9,2,5,20,21,22,1,29,0,2,1,4,3,0,0.229,"11.0%","14.5%",0.76,0.229,0.312,0.389,0.7,0.16,5.4,0.245,1.2,0.5,0.4,21,0,0.31,95,"31.5%","72.2%","51.2%","65.5%","89.5%","81.9%","48.5%",25.3,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015","Rays",143,505,551,134,86,28,5,15,66,58,36,4,107,3,6,1,14,6,3,0.265,"6.5%","19.4%",0.34,0.265,0.315,0.43,0.744,0.164,5,0.306,1.5,-1,-0.2,64,2.4,0.319,104,"36.5%","71.8%","53.4%","67.5%","85.8%","79.3%","47.8%",23.8,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016","Mets (A+)",2,6,7,2,0,2,0,0,2,2,0,0,2,0,1,0,0,0,0,0.333,"0.0%","28.6%",0,0.333,0.286,0.667,0.952,0.333,2.6,0.4,NA,NA,0,1,0.3,0.386,144,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016","Mets",141,521,568,146,92,30,1,23,65,62,38,3,103,7,2,0,14,5,1,0.28,"6.7%","18.1%",0.37,0.28,0.336,0.474,0.81,0.194,3.4,0.31,-2.7,-1.4,0.3,80,12.8,0.345,120,"31.5%","70.7%","50.6%","62.1%","87.0%","79.0%","48.7%",23.2,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017","Mets (A+)",2,8,8,3,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.375,"0.0%","0.0%",0,0.375,0.375,0.375,0.75,0,1.6,0.375,NA,NA,0,1,0.2,0.349,121,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017","Mets (AA)",2,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,"0.0%","0.0%",0,0.4,0.4,0.4,0.8,0,0.1,0.4,NA,NA,0,1,0.1,0.364,125,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017","Mets",135,479,540,134,88,32,0,14,66,59,50,1,83,5,5,1,19,3,2,0.28,"9.3%","15.4%",0.6,0.28,0.351,0.434,0.785,0.154,2.5,0.31,-6.2,-2.1,-0.6,74,7.8,0.338,112,"23.9%","68.9%","46.7%","66.7%","88.0%","82.6%","50.6%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018","2 Teams",147,546,592,143,83,36,1,23,68,75,41,1,119,3,2,0,16,0,0,0.262,"6.9%","20.1%",0.34,0.262,0.316,0.458,0.774,0.196,1.8,0.296,1,-0.3,-0.3,77,8.1,0.332,111,"27.6%","69.2%","48.8%","65.1%","85.4%","79.8%","50.9%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2018","Mets",98,375,407,104,62,23,1,18,48,58,29,1,81,1,2,0,12,0,0,0.277,"7.1%","19.9%",0.36,0.277,0.329,0.488,0.817,0.211,1.6,0.309,1.6,-0.2,-0.2,59,11.1,0.348,123,"27.6%","68.8%","48.5%","67.5%","86.2%","81.0%","50.7%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2018","Phillies",49,171,185,39,21,13,0,5,20,17,12,0,38,2,0,0,4,0,0,0.228,"6.5%","20.5%",0.32,0.228,0.286,0.392,0.678,0.164,1.6,0.266,-0.6,-0.1,-0.1,19,-3,0.295,83,"27.8%","70.1%","49.5%","59.6%","83.5%","77.0%","51.4%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019","2 Teams",131,447,514,116,72,25,1,18,69,91,57,2,103,3,7,0,9,4,0,0.26,"11.1%","20.0%",0.55,0.26,0.342,0.441,0.783,0.181,3.8,0.294,-5,0.3,0.5,70,5,0.331,98,"25.5%","63.9%","45.3%","67.8%","85.9%","81.0%","51.6%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019","Rangers",93,323,368,76,49,15,0,12,45,51,38,1,85,3,4,0,6,4,0,0.235,"10.3%","23.1%",0.45,0.235,0.318,0.393,0.711,0.158,3.7,0.278,-2.4,0.5,0.6,41,-4.8,0.305,79,"25.9%","62.9%","45.2%","67.6%","84.5%","79.9%","52.1%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019","Nationals",38,124,146,40,23,10,1,6,24,40,19,1,18,0,3,0,3,0,0,0.323,"13.0%","12.3%",1.06,0.323,0.404,0.565,0.969,0.242,2.9,0.33,-2.6,-0.2,-0.1,28,9.9,0.398,145,"24.6%","66.7%","45.8%","68.6%","89.6%","84.0%","50.3%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020","Nationals",52,190,213,46,26,9,3,8,23,31,19,0,40,0,4,0,6,0,0,0.242,"8.9%","18.8%",0.48,0.242,0.305,0.447,0.753,0.205,3.4,0.26,-2,-0.5,-0.1,27,-0.2,0.319,96,"28.2%","65.0%","45.8%","61.6%","89.4%","80.5%","47.8%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021","THE BAT X",71,278,311,68,42,15,1,9,35,37,27,1,65,2,2,0,6,1,0,0.246,"8.6%","20.8%",0.41,0.246,0.315,0.412,0.727,0.166,3.2,0.286,NA,NA,-0.2,37,-1.6,0.314,93,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021","THE BAT",71,278,311,70,43,15,1,10,37,39,26,1,65,2,2,0,6,1,0,0.251,"8.5%","21.0%",0.4,0.251,0.319,0.429,0.749,0.178,3.3,0.291,NA,NA,-0.2,40,0.5,0.322,98,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021","ATC",86,320,359,80,50,17,2,12,41,48,32,1,71,2,4,0,8,1,0,0.25,"9.0%","19.8%",0.45,0.25,0.32,0.425,0.745,0.175,3.5,0.283,NA,NA,-0.1,45,0.1,0.32,97,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021","Depth Charts",71,276,308,70,43,15,2,10,35,42,27,0,61,2,3,1,NA,1,0,0.254,"8.7%","19.9%",0.44,0.254,0.321,0.433,0.754,0.178,3.6,0.29,-0.9,NA,-0.1,38,-0.3,0.319,94,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021","Steamer",63,233,261,58,36,12,2,8,29,32,23,0,56,2,2,1,NA,1,0,0.249,"8.8%","21.3%",0.42,0.249,0.319,0.421,0.74,0.172,4,0.291,-1.1,NA,-0.1,32,-1.3,0.314,90,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021","ZiPS",125,450,500,117,71,26,3,17,59,74,43,1,93,2,5,0,13,1,0,0.26,"8.6%","18.6%",0.46,0.26,0.324,0.444,0.768,0.184,3.4,0.29,NA,NA,-0.1,64,1.5,0.323,97,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021","Diamondbacks",37,116,138,33,20,9,0,4,18,19,19,1,26,1,2,0,0,1,0,0.284,"13.8%","18.8%",0.73,0.284,0.384,0.466,0.85,0.181,3,0.33,-1.6,0.7,0.1,23,6.4,0.367,132,"23.2%","66.4%","44.9%","52.5%","88.1%","78.9%","50.2%",NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021","ZiPS (R)",74,262,293,69,42,16,1,10,35,43,28,1,55,1,2,0,NA,1,0,0.264,"9.5%","18.7%",0.51,0.264,0.335,0.448,0.783,0.184,3.3,0.298,-0.2,NA,-0.1,41,6.9,0.339,114,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021","Steamer (R)",25,94,106,23,14,5,1,3,12,12,10,0,23,1,1,0,NA,0,0,0.243,"9.7%","21.5%",0.45,0.243,0.32,0.403,0.722,0.16,3.6,0.287,-0.5,NA,-0.1,13,0.5,0.316,98,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
