"","Season","Team","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%","K%","ISO","BABIP","AVG.x","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","G.y","AB","PA.y","H","1B","2B","3B","HR.y","R.y","RBI.y","BB","IBB","SO","HBP","SF","SH","GDP","SB.y","CS","AVG.y","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","date_acquired","player_id","G","PA","HR","R","RBI","SB","BB/K","OPS","Spd","UBR","wGDP","wSB","wRC","wRAA","Pace","W.x","L.x","SV.x","GS.x","IP.x","K/9","BB/9","HR/9","LOB%","GB%","HR/FB","ERA.x","FIP","xFIP","W.y","L.y","ERA.y","GS.y","CG","ShO","SV.y","HLD","BS","IP.y","TBF","ER","WP","BK"
"145","2013","Mets (A)",NA,NA,NA,NA,NA,NA,"8.2%","11.3%",0.18,0.336,0.314,0.39,0.494,0.402,152,NA,NA,NA,NA,NA,245,NA,77,46,24,1,NA,NA,NA,23,2,32,10,4,0,11,NA,0,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,65,282,6,35,43,1,0.72,0.884,3.3,NA,NA,-0.1,50,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","2013","Mets (A+)",NA,NA,NA,NA,NA,NA,"7.9%","8.8%",0.098,0.319,0.294,0.391,0.392,0.371,131,NA,NA,NA,NA,NA,204,NA,60,44,14,0,NA,NA,NA,19,0,21,14,1,1,4,NA,0,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,60,239,2,25,37,0,0.9,0.783,1.4,NA,NA,-0.2,35,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","2014","Mets (AA)",NA,NA,NA,NA,NA,NA,"6.4%","10.8%",0.161,0.344,0.326,0.378,0.487,0.385,140,NA,NA,NA,NA,NA,224,NA,73,49,18,0,NA,NA,NA,16,0,27,5,4,0,12,NA,0,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,58,249,6,33,43,0,0.59,0.864,1.6,NA,NA,-0.1,41,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","2014","Mets (AAA)",NA,NA,NA,NA,NA,NA,"8.2%","12.4%",0.138,0.299,0.283,0.345,0.421,0.34,99,NA,NA,NA,NA,NA,152,NA,43,32,6,0,NA,NA,NA,14,1,21,1,1,2,4,NA,0,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,43,170,5,25,21,0,0.67,0.766,1.9,NA,NA,0,22,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","2015","Mets (AAA)",NA,NA,NA,NA,NA,NA,"3.3%","13.3%",0.118,0.25,0.224,0.267,0.341,0.274,59,NA,NA,NA,NA,NA,85,NA,19,12,5,1,NA,NA,NA,3,0,12,2,0,0,3,NA,0,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,22,90,1,7,9,0,0.25,0.608,3.1,NA,NA,0,7,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","2015","Mets",NA,NA,NA,NA,NA,NA,"6.6%","23.3%",0.077,0.277,0.219,0.28,0.296,0.252,59,NA,NA,NA,NA,NA,233,NA,51,39,9,0,NA,NA,NA,17,4,60,4,3,1,4,NA,0,0.219,"25.9%","59.2%","45.5%","40.0%","91.4%","79.4%","58.8%",NA,NA,2021-06-08,13807,73,258,3,18,21,0,0.28,0.576,1,-1.2,0.8,-0.1,16,-12.7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","2016","Mets (AAA)",NA,NA,NA,NA,NA,NA,"6.3%","9.2%",0.184,0.297,0.3,0.348,0.484,0.365,120,NA,NA,NA,NA,NA,190,NA,57,38,11,0,NA,NA,NA,13,0,19,2,2,0,9,NA,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,55,207,8,27,40,0,0.68,0.832,1.8,NA,NA,-0.5,31,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","2016","Mets",NA,NA,NA,NA,NA,NA,"11.3%","21.9%",0.068,0.255,0.197,0.298,0.265,0.255,59,NA,NA,NA,NA,NA,132,NA,26,19,6,0,NA,NA,NA,17,2,33,2,0,0,2,NA,0,0.197,"28.7%","63.4%","47.7%","61.6%","87.1%","80.1%","54.6%",NA,NA,2021-06-08,13807,48,151,1,6,11,0,0.52,0.563,0.3,-1.3,0.6,-0.1,10,-7.9,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","2017","Mets (AAA)",NA,NA,NA,NA,NA,NA,"5.8%","13.8%",0.186,0.35,0.328,0.375,0.514,0.383,128,NA,NA,NA,NA,NA,247,NA,81,54,17,1,NA,NA,NA,16,0,38,6,6,0,10,NA,0,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,64,275,9,37,45,0,0.42,0.889,2.3,NA,NA,-0.1,46,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","2017","Mets",NA,NA,NA,NA,NA,NA,"11.9%","14.4%",0.14,0.284,0.26,0.364,0.4,0.331,107,NA,NA,NA,NA,NA,100,NA,26,18,5,0,NA,NA,NA,14,2,17,3,1,0,2,NA,0,0.26,"22.4%","70.3%","47.1%","67.3%","83.2%","79.6%","51.5%",NA,NA,2021-06-08,13807,37,118,3,11,13,1,0.82,0.764,2.7,0.4,0.1,0.1,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","2018","Mets (AAA)",NA,NA,NA,NA,NA,NA,"13.3%","20.0%",0.231,0.222,0.231,0.333,0.462,0.35,107,NA,NA,NA,NA,NA,13,NA,3,2,0,0,NA,NA,NA,2,0,3,0,0,0,1,NA,0,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,4,15,1,2,3,0,0.67,0.795,1.1,NA,NA,0,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2018","Mets",NA,NA,NA,NA,NA,NA,"10.1%","23.5%",0.16,0.257,0.21,0.315,0.37,0.302,92,NA,NA,NA,NA,NA,238,NA,50,28,13,2,NA,NA,NA,28,2,65,9,1,1,12,NA,1,0.21,"24.3%","63.4%","44.7%","51.3%","88.0%","78.4%","52.1%",NA,NA,2021-06-08,13807,79,277,7,33,30,0,0.43,0.685,3.6,-2,-2.2,-0.6,29,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","2019","Indians",NA,NA,NA,NA,NA,NA,"6.9%","17.8%",0.12,0.256,0.222,0.287,0.342,0.273,64,NA,NA,NA,NA,NA,158,NA,35,22,10,0,NA,NA,NA,12,0,31,3,1,0,4,NA,1,0.222,"20.9%","68.8%","46.6%","63.5%","87.1%","82.2%","53.7%",NA,NA,2021-06-08,13807,60,174,3,13,17,0,0.39,0.629,1.4,-0.5,-0.3,-0.5,15,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2020","Red Sox",NA,NA,NA,NA,NA,NA,"5.6%","15.7%",0.122,0.403,0.341,0.393,0.463,0.373,134,NA,NA,NA,NA,NA,82,NA,28,21,5,1,NA,NA,NA,5,0,14,2,0,0,4,NA,0,0.341,"28.8%","64.0%","46.6%","60.9%","94.3%","84.1%","50.6%",NA,NA,2021-06-08,13807,24,89,1,8,17,1,0.36,0.857,4.7,-1.9,-0.4,0.1,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","2021","THE BAT X",NA,NA,NA,NA,NA,NA,"7.3%","20.7%",0.13,0.279,0.235,0.303,0.365,0.292,79,NA,NA,NA,NA,NA,172,NA,40,27,8,0,NA,NA,NA,14,1,40,3,1,0,4,NA,0,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,49,191,4,20,18,1,0.35,0.668,3,NA,NA,-0.1,19,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","2021","THE BAT",NA,NA,NA,NA,NA,NA,"7.3%","20.8%",0.131,0.278,0.235,0.303,0.365,0.292,79,NA,NA,NA,NA,NA,172,NA,40,27,8,0,NA,NA,NA,14,1,40,3,1,0,4,NA,0,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,49,191,4,21,18,1,0.35,0.668,3.1,NA,NA,-0.1,20,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","2021","ATC",NA,NA,NA,NA,NA,NA,"7.3%","18.8%",0.13,0.294,0.25,0.318,0.38,0.303,86,NA,NA,NA,NA,NA,183,NA,46,31,10,1,NA,NA,NA,15,2,38,4,1,0,7,NA,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,55,202,4,21,24,1,0.39,0.698,3.3,NA,NA,-0.3,23,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","2021","Depth Charts",NA,NA,NA,NA,NA,NA,"7.7%","19.0%",0.144,0.3,0.256,0.326,0.399,0.311,88,NA,NA,NA,NA,NA,171,NA,44,29,10,1,NA,NA,NA,15,0,37,4,1,1,NA,NA,1,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,49,192,4,20,23,1,0.4,0.725,3.3,-0.3,NA,-0.2,23,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","2021","Steamer",NA,NA,NA,NA,NA,NA,"8.0%","20.7%",0.148,0.291,0.246,0.318,0.393,0.305,84,NA,NA,NA,NA,NA,161,NA,40,26,9,1,NA,NA,NA,14,0,37,3,1,1,NA,NA,1,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,45,181,4,20,20,1,0.39,0.711,3.7,-0.4,NA,-0.1,20,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","2021","ZiPS",NA,NA,NA,NA,NA,NA,"7.4%","17.4%",0.14,0.308,0.265,0.334,0.405,0.317,92,NA,NA,NA,NA,NA,279,NA,74,49,17,2,NA,NA,NA,23,1,54,7,2,0,11,NA,1,0.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,88,311,6,30,41,1,0.43,0.739,3.1,NA,NA,-0.4,38,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","2021","Red Sox",NA,NA,NA,NA,NA,NA,"7.9%","17.5%",0.107,0.295,0.25,0.323,0.357,0.304,90,NA,NA,NA,NA,NA,56,NA,14,10,3,0,NA,NA,NA,5,0,11,1,0,1,2,NA,0,0.25,"23.2%","59.7%","44.2%","72.7%","89.6%","85.9%","57.6%",NA,NA,2021-06-08,13807,21,63,1,6,3,0,0.45,0.68,1.3,-0.2,-0.4,-0.1,7,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","2021","ZiPS (R)",NA,NA,NA,NA,NA,NA,"7.5%","17.4%",0.136,0.306,0.263,0.333,0.399,0.321,102,NA,NA,NA,NA,NA,159,NA,42,28,10,1,NA,NA,NA,13,0,31,4,1,0,NA,NA,0,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,51,177,3,17,21,0,0.43,0.732,2.8,-0.1,NA,-0.3,22,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","2021","Steamer (R)",NA,NA,NA,NA,NA,NA,"8.0%","20.4%",0.141,0.293,0.246,0.318,0.388,0.311,95,NA,NA,NA,NA,NA,101,NA,25,16,5,0,NA,NA,NA,9,0,23,2,1,1,NA,NA,0,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,29,114,3,12,12,1,0.39,0.706,3.8,-0.3,NA,-0.1,13,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","2021","Depth Charts (R)",NA,NA,NA,NA,NA,NA,"7.7%","18.9%",0.138,0.3,0.255,0.326,0.393,0.316,98,NA,NA,NA,NA,NA,108,NA,27,18,6,1,NA,NA,NA,9,0,23,2,1,1,NA,NA,0,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,29,121,3,12,14,1,0.41,0.719,3.3,-0.2,NA,-0.1,15,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","2021","THE BAT (R)",NA,NA,NA,NA,NA,NA,"7.2%","20.4%",0.136,0.28,0.237,0.305,0.373,0.298,86,NA,NA,NA,NA,NA,108,NA,26,17,5,0,NA,NA,NA,9,0,24,2,1,0,2,NA,0,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,31,119,3,13,12,1,0.35,0.678,3.4,NA,NA,-0.1,13,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","2021","THE BAT X (RoS)",NA,NA,NA,NA,NA,NA,"7.1%","20.3%",0.151,0.28,0.242,0.308,0.393,0.307,92,NA,NA,NA,NA,NA,108,NA,26,17,5,0,NA,NA,NA,8,0,24,2,1,0,2,NA,0,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,13807,31,119,3,14,13,0,0.35,0.701,3.1,NA,NA,-0.1,14,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Total","- - -",NA,NA,NA,NA,NA,NA,"8.7%","20.4%",0.114,0.279,0.23,0.312,0.344,0.288,81,NA,NA,NA,NA,NA,999,NA,230,157,51,3,NA,NA,NA,98,10,231,24,6,3,30,NA,2,0.23,"24.8%","63.8%","46.0%","55.8%","88.5%","80.4%","54.3%",NA,NA,2021-06-08,13807,342,1130,19,95,112,2,0.42,0.657,2.3,-6.7,-1.8,-1.1,108,-25.9,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","2015","Average",NA,NA,NA,NA,NA,NA,"7.7%","20.4%",0.15,0.299,NA,0.317,0.405,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,"28.6%","64.3%","46.9%","60.6%","86.5%","78.8%","51.3%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.38,0.721,4.8,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","2016","Average",NA,NA,NA,NA,NA,NA,"8.2%","21.1%",0.162,0.3,NA,0.322,0.417,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255,"28.2%","63.9%","46.5%","59.6%","85.9%","78.1%","51.3%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.39,0.739,4.9,NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","2017","Average",NA,NA,NA,NA,NA,NA,"8.5%","21.6%",0.171,0.3,NA,0.324,0.426,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255,"26.3%","65.5%","46.5%","58.6%","84.6%","77.5%","51.3%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.39,0.75,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","2018","Average",NA,NA,NA,NA,NA,NA,"8.5%","22.3%",0.161,0.296,NA,0.318,0.409,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,"26.9%","65.3%","46.6%","57.0%","84.7%","76.9%","51.2%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.38,0.728,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","2019","Average",NA,NA,NA,NA,NA,NA,"8.5%","23.0%",0.183,0.298,NA,0.323,0.435,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,"28.7%","65.7%","47.0%","57.3%","84.6%","76.2%","49.5%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.37,0.758,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","2020","Average",NA,NA,NA,NA,NA,NA,"9.2%","23.4%",0.173,0.292,NA,0.322,0.418,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,"27.1%","65.2%","46.0%","55.1%","83.8%","75.2%","49.5%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.39,0.74,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","2021","Average",NA,NA,NA,NA,NA,NA,"8.9%","24.1%",0.159,0.289,NA,0.312,0.396,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237,"26.6%","65.8%","46.6%","54.6%","83.2%","75.2%","51.1%",NA,NA,2021-06-08,13807,NA,NA,NA,NA,NA,NA,0.37,0.708,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","2006","Cubs (R)",NA,NA,NA,NA,NA,NA,"8.5%","20.2%",0.07,0.254,0.198,0.266,0.267,0.265,48,NA,NA,NA,NA,NA,86,NA,17,12,4,1,NA,NA,NA,8,0,19,0,0,0,1,NA,2,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,24,94,0,9,11,0,0.42,0.533,4.5,NA,NA,-0.9,6,-6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","2007","Cubs (R)",NA,NA,NA,NA,NA,NA,"13.0%","14.5%",0.203,0.333,0.288,0.391,0.492,0.411,136,NA,NA,NA,NA,NA,59,NA,17,10,3,3,NA,NA,NA,9,0,10,1,0,0,2,NA,2,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,17,69,1,12,10,1,0.9,0.883,6,NA,NA,-0.7,13,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","2008","Cubs (A-)",NA,NA,NA,NA,NA,NA,"4.9%","13.5%",0.086,0.324,0.279,0.318,0.365,0.323,88,NA,NA,NA,NA,NA,244,NA,68,50,15,3,NA,NA,NA,13,0,36,2,2,6,9,NA,7,0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,65,267,0,29,43,15,0.36,0.683,6.7,NA,NA,0,29,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","2008","Cubs (A)",NA,NA,NA,NA,NA,NA,"2.5%","12.3%",0.06,0.252,0.224,0.24,0.284,0.24,46,NA,NA,NA,NA,NA,116,NA,26,19,7,0,NA,NA,NA,3,0,15,0,2,1,4,NA,1,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,33,122,0,6,9,1,0.2,0.524,2.1,NA,NA,-0.2,6,-7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","2009","Cubs (A+)",NA,NA,NA,NA,NA,NA,"5.6%","16.7%",0.068,0.289,0.241,0.287,0.309,0.281,74,NA,NA,NA,NA,NA,424,NA,102,81,15,4,NA,NA,NA,26,0,77,2,1,8,11,NA,8,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,120,461,2,43,34,9,0.34,0.596,4.9,NA,NA,-1.6,37,-13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2010","Cubs (A+)",NA,NA,NA,NA,NA,NA,"7.3%","13.5%",0.035,0.315,0.271,0.33,0.306,0.303,88,NA,NA,NA,NA,NA,85,NA,23,20,3,0,NA,NA,NA,7,0,13,1,1,2,1,NA,1,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,23,96,0,7,5,7,0.54,0.636,4.9,NA,NA,0.9,9,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","2010","Cubs (AA)",NA,NA,NA,NA,NA,NA,"5.2%","12.1%",0.095,0.268,0.246,0.284,0.341,0.284,67,NA,NA,NA,NA,NA,305,NA,75,57,11,3,NA,NA,NA,17,2,40,1,4,3,7,NA,4,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,86,330,4,24,41,6,0.43,0.625,4.4,NA,NA,-0.5,26,-13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","2011","Cubs (AA)",NA,NA,NA,NA,NA,NA,"7.1%","11.3%",0.12,0.335,0.301,0.359,0.421,0.352,111,NA,NA,NA,NA,NA,216,NA,65,44,18,1,NA,NA,NA,17,2,27,3,1,2,5,NA,2,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,64,239,2,29,20,4,0.63,0.78,4.3,NA,NA,0.1,32,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","2011","Cubs (AAA)",NA,NA,NA,NA,NA,NA,"7.1%","9.3%",0.102,0.292,0.274,0.326,0.376,0.311,71,NA,NA,NA,NA,NA,197,NA,54,39,12,1,NA,NA,NA,16,2,21,1,4,8,2,NA,1,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,60,226,2,24,19,3,0.76,0.701,4.2,NA,NA,0.1,23,-9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","2012","Astros (AAA)",NA,NA,NA,NA,NA,NA,"7.0%","16.3%",0.179,0.387,0.333,0.395,0.513,0.392,132,NA,NA,NA,NA,NA,39,NA,13,8,4,0,NA,NA,NA,3,1,7,1,0,0,1,NA,0,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,5497,13,43,1,2,10,0,0.43,0.908,0.1,NA,NA,0,8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","2012","Astros",NA,NA,NA,NA,NA,NA,"5.9%","13.2%",0.093,0.264,0.234,0.28,0.327,0.269,65,NA,NA,NA,NA,NA,205,NA,48,33,13,0,NA,NA,NA,13,0,29,0,0,1,9,NA,3,0.234,"30.6%","57.2%","44.0%","72.6%","93.1%","86.0%","50.1%",NA,NA,2021-06-08,5497,80,219,2,21,12,3,0.45,0.607,3.1,-3.5,-1.8,-0.8,17,-8.1,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
